ds,orig,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,res
2017-04-07 15:00:00,85694.0,43.79609076746709,-91.38912638805044,32.054697503344556,117.80603952427704,270.13170415067935,-53.19518947654202,-52.84513124620309,-91.75609510096042,85519.397010266,0.0
2017-04-07 18:00:00,85632.0,-46.06814940412868,-48.016114476347525,-15.041071981523745,111.00045259249985,301.5471878379756,-48.73581767533164,-49.552623601869286,-92.5354776804326,85519.40161438916,0.0
2017-04-07 21:00:00,85698.0,-27.846522452953486,16.602424835508156,-54.88106476977322,98.54908735601963,329.9457273868493,-44.206624753299316,-46.254163333336294,-93.31506123668247,85519.40619696768,-1.4551915228366852e-11
2017-04-08 00:00:00,85784.0,18.506338680455936,68.60141315264569,-81.71643551064912,80.59816494066897,355.2617578011031,-39.6167127671663,-42.9504320660827,-94.09485224041799,85519.41075800944,0.0
2017-04-08 03:00:00,85830.0,58.437794254453465,76.71377888166501,-89.79833885405685,57.272215442910436,377.4514051139272,-34.97518377327164,-39.64211142560444,-94.87485716220817,85519.41529752218,0.0
2017-04-08 06:00:00,85706.0,-27.334783899704735,26.665718653193476,-75.9789514099208,29.019446340366486,396.4848601406639,-30.29113982816286,-36.329883037571186,-95.65508247272622,85519.41981551387,-1.4551915228366852e-11
2017-04-08 09:00:00,85620.0,-67.73920324328111,-39.11827242091915,-47.51453763185457,-2.3712649099164373,412.34261237211246,-25.5736829885612,-33.014428527200955,-96.43553464268011,85519.4243119923,0.0
2017-04-08 12:00:00,85708.0,30.096737694097257,-69.75042836330186,-14.262383933925143,-34.77525788556408,425.0071104971085,-20.83191531073624,-29.696429520337116,-97.21622014269096,85519.42878696535,0.0
2017-04-08 15:00:00,85782.0,75.48996804846266,-55.9639368173987,15.096449224832293,-66.06787216408058,434.4608032045224,-16.074938851548186,-26.376567642284538,-97.99714544339723,85519.43324044089,0.0
2017-04-08 18:00:00,85804.0,43.6055551960586,-9.045027487301372,36.58580520580475,-94.12444732293534,440.68613918303333,-11.311855667336104,-23.055524518643406,-98.77831701542004,85519.43767242675,-1.4551915228366852e-11
2017-04-08 21:00:00,85734.0,-80.68465920288887,46.83706968365475,47.52253371641739,-116.93710333055205,443.66556712163333,-6.551767814682257,-19.733981774770694,-99.55974132958896,85519.44208293078,0.0
2017-04-09 00:00:00,85808.0,-14.510133128661751,65.51170153644601,45.949761845603746,-133.22151468039132,443.3815318183601,-1.8037734594926689,-16.412621036405554,-100.34142485638613,85519.44647196092,0.0
2017-04-09 03:00:00,85864.0,83.18178957248603,43.50013159421431,32.200528012901806,-142.85729801287064,439.8160045330854,2.923502770718505,-13.092123928957085,-101.12337406645003,85519.45083952488,0.0
