ds,orig,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,IMF12,IMF13,IMF14,res
2018-06-08 00:00:00,0.0,0.0019963934523110527,0.0011459917120142187,-0.005014004813050269,0.0017931064578340808,0.007317806540821006,9.895264708465662e-05,-0.0058835253385133394,-0.0008913822329331933,-0.0031514805702232682,-0.006885168138959048,0.0007671934020482871,0.0020528434673973343,0.0009931337124543822,0.005660139701714101,-8.673617379884035e-19
2018-06-08 03:00:00,0.0,-0.004355072085343208,0.008504577433922546,-0.005786093103662016,0.0038061242331489976,0.0065875046394385005,0.0008501234556823886,-0.007782589674579385,-0.001698699073231031,-0.002827984443929111,-0.006831837134644565,0.0008159887230230458,0.0020606399026876798,0.0009981177672136593,0.005659199360272497,0.0
2018-06-08 06:00:00,0.0,-0.011477222967792309,0.015697007352684172,-0.005913740200363203,0.005950724689530519,0.005795701794536237,0.0017255517751352523,-0.009572721425761193,-0.002527692933054823,-0.002496283892884908,-0.006775846849329558,0.0008647358310313036,0.0020684292006026687,0.0010030983096270163,0.0056582593160388285,-8.673617379884035e-19
2018-06-08 09:00:00,0.0225029,0.010909639395671297,0.014951522487592,-0.005485007010644,0.008261357101536299,0.004974341672357684,0.0026836001870260556,-0.011195589311476024,-0.0033778273752101758,-0.002156983545794811,-0.006717192626762695,0.0009134328814848873,0.0020762112473535323,0.0010080753276631687,0.005657319569202785,0.0
2018-06-08 12:00:00,0.0,-0.010461237170500692,0.012304021954283,-0.004695289809000762,0.010660032424479111,0.004101892867220534,0.0036856365358542715,-0.012595425885969128,-0.004248565962502732,-0.001810688031362958,-0.006655869810692677,0.0009620780297956828,0.0020839859291514828,0.0010130488092908233,0.005656380119954045,-1.734723475976807e-18
2018-06-08 15:00:00,0.0,-0.0025522124089886293,0.00250183246244012,-0.003693528756726166,0.01306551824385668,0.00310488853152065,0.004705891953728579,-0.013719024319475671,-0.00513937225773819,-0.0014580019782935044,-0.006591873744868125,0.0010106694313754966,0.002091753132207784,0.0010180187424786607,0.005655440968482317,-1.734723475976807e-18
2018-06-08 18:00:00,0.0,0.006427789500020776,-0.008491363322237436,-0.0026099496369320044,0.015426094814921562,0.0018807498668437894,0.005724851301109507,-0.014519938126218263,-0.006049709823722084,-0.0010995300152906232,-0.006525199773037745,0.0010592052416361932,0.0020995127427336684,0.0010229851151953523,0.005654502114977308,8.673617379884035e-19
2018-06-08 21:00:00,0.0,0.009584591424762326,-0.013523729782476,-0.0015747782327262584,0.017694444123633052,0.0003293397715388751,0.006736152445284781,-0.014971717254716311,-0.00697904222326012,-0.0007358767710584082,-0.006455843238950234,0.001107683615989629,0.002107264646940342,0.0010279479154096144,0.005653563559628712,1.734723475976807e-18
2018-06-09 00:00:00,0.0,0.0037841170793227632,-0.00922985900767585,-0.0006919134663951361,0.01981702337683549,-0.0016244981002867002,0.007723608412978188,-0.015057487300616172,-0.007926188508110365,-0.0003676468743010484,-0.006383799486354218,0.0011561027098476295,0.0021150087310390737,0.001032907131090142,0.005652625302626204,1.734723475976807e-18
2018-06-09 03:00:00,0.0,-0.009145701604423807,0.002688341251693355,4.103032989865698e-05,0.02173642877751243,-0.004020200608931872,0.008639273470341428,-0.014764521316311724,-0.008886897141285625,4.555046277293065e-06,-0.006309063858998397,0.0012044606786220675,0.0021227448812410517,0.001037862750205666,0.005651687344159474,2.6020852139652106e-18
2018-06-09 06:00:00,0.027500153,0.008839878077617106,0.011785978612119141,0.0006609973985676085,0.02339693248453395,-0.006873151774232628,0.009401241373423942,-0.014082311951035473,-0.009854696988960097,0.00038012436197250294,-0.006231631700631441,0.0012527556777247588,0.0021304729837575706,0.0010428147607248303,0.005650749684418227,3.469446951953614e-18
2018-06-09 09:00:00,0.0,-0.008455573245090267,0.0018762753862963707,0.001199345233014214,0.024739895471253,-0.010188381036123205,0.009908194611323506,-0.012999264028859942,-0.010824204742467966,0.0007584564440804304,-0.006151498355002033,0.001300985862567567,0.0021381929247998206,0.0010477631506163394,0.005649812323592165,2.6020852139652106e-18
2018-06-09 12:00:00,0.0,0.002612934268813246,-0.007997828838668196,0.0015644134533984216,0.025709669899753845,-0.013917803269124425,0.010055509305928802,-0.011503387281428816,-0.011790432185572203,0.0011389466638968818,-0.006068659165858833,0.0013491493885623498,0.002145904590579038,0.001052707907848913,0.005648875261870972,6.071532165918825e-18
2018-06-09 15:00:00,0.0,0.006647536157028253,-0.009799239535233933,0.0015254586205634372,0.026233579038032615,-0.017809134031129686,0.009744357582732132,-0.009588487443987185,-0.01274839110203587,0.001520990392717773,-0.00598310947695052,0.0013972444111209359,0.002153607867306483,0.0010576490203912155,0.005647938499444348,3.469446951953614e-18
2018-06-09 18:00:00,0.0,0.005212325785011953,-0.0053559248221335485,0.0009848628161226488,0.026347937215259857,-0.021448947643462373,0.008902867555723157,-0.007275326240275366,-0.01369309327562193,0.0019039830018388651,-0.005894844632025754,0.0014452690856551697,0.0021613026411933596,0.0010625864762119656,0.005647002036501997,0.0
